A̱o,Mes,Nominal,Reaj. U.F.,Reaj. T.C.
2015.0,Enero,3.24,4.313539687,
2015.0,Febrero,3.24,1.65869707,
2015.0,Marzo,3.48,0.263108301,
2015.0,Abril,3.5999999999999996,0.40966665895145604,
2015.0,Mayo,3.7199999999999998,0.6562575094584595,
2015.0,Junio,3.7199999999999998,0.81,
2015.0,Julio,3.7199999999999998,0.47875991261294665,
2015.0,Agosto,3.7199999999999998,0.11539900254230541,
2015.0,Septiembre,3.96,0.3528825885766954,
2015.0,Octubre,4.08,0.8542441744006741,
2015.0,Noviembre,4.32,1.8822906003056432,
2015.0,Diciembre,4.44,1.9382351500250605,
2016.0,Enero,4.4399999999999995,1.39,
2016.0,Febrero,4.32,0.59,
2016.0,Marzo,4.199999999999999,0.5,
2016.0,Abril,3.96,0.63,
2016.0,Mayo,3.96,0.76,
2016.0,Junio,3.96,0.76,
2016.0,Julio,3.96,0.86,
2016.0,Agosto,3.84,0.7473916415426648,
2016.0,Septiembre,3.96,0.6755280368844017,
2016.0,Octubre,3.96,1.33,
2016.0,Noviembre,3.96,2.79,
2016.0,Diciembre,3.96,2.3760582697800876,
2017.0,Enero,3.5999999999999996,1.52,
2017.0,Febrero,3.3600000000000003,0.39,
2017.0,Marzo,3.24,0.34,
2017.0,Abril,3.0,0.25,
2017.0,Mayo,2.88,0.98,
2017.0,Junio,2.88,1.46,
2017.0,Julio,2.88,1.72,
2017.0,Agosto,2.88,0.62,
2017.0,Septiembre,2.7600000000000002,0.74,
2017.0,Octubre,2.88,1.99,
2017.0,Noviembre,2.88,1.08,
2017.0,Diciembre,3.12,1.24,
2018.0,Enero,2.7600000000000002,0.94,
2018.0,Febrero,2.7600000000000002,0.38,
2018.0,Marzo,2.7600000000000002,0.67,
2018.0,Abril,2.88,0.83,
2018.0,Mayo,2.7600000000000002,0.57,
2018.0,Junio,2.7600000000000002,0.2,
2018.0,Julio,2.88,0.28,
2018.0,Agosto,2.88,0.14,
2018.0,Septiembre,3.0,0.1,
2018.0,Octubre,3.24,0.69,
2018.0,Noviembre,3.4799999999999995,1.18,
2018.0,Diciembre,3.4799999999999995,2.3,
2019.0,Enero,3.24,1.83,
2019.0,Febrero,3.24,1.04,
2019.0,Marzo,3.24,0.69,
2019.0,Abril,3.24,0.2,
2019.0,Mayo,3.12,0.21,
2019.0,Junio,2.88,0.31,
2019.0,Julio,2.64,0.9,
2019.0,Agosto,2.43,0.07,
2019.0,Septiembre,2.12,0.1,
2019.0,Octubre,2.08,0.11,
2019.0,Noviembre,2.2,0.07,
2019.0,Diciembre,2.21,0.05,
2020.0,Enero,2.01,0.02,
2020.0,Febrero,2.06,0.01,
2020.0,Marzo,2.11,0.08,
2020.0,Abril,0.84,0.55,
2020.0,Mayo,0.53,0.74,
2020.0,Junio,0.42,0.59,
2020.0,Julio,0.42,0.58,
2020.0,Agosto,0.41,0.04,
2020.0,Septiembre,0.38,0.01,
2020.0,Octubre,0.37,0.01,
2020.0,Noviembre,0.32,0.01,
2020.0,Diciembre,0.4,0.01,
2021.0,Enero,0.39,0.01,
2021.0,Febrero,0.37,0.01,
2021.0,Marzo,0.38,0.01,
2021.0,Abril,0.4,0.01,
2021.0,Mayo,0.43,0.05,
2021.0,Junio,0.57,0.02,
2021.0,Julio,1.09,0.01,
2021.0,Agosto,1.35,0.01,
2021.0,Septiembre,2.52,0.01,
2021.0,Octubre,3.59,0.2,
2021.0,Noviembre,4.31,0.05,
2021.0,Diciembre,5.06,0.33,
2022.0,Enero,5.44,0.3,
2022.0,Febrero,6.56,0.93,
2022.0,Marzo,7.78,0.71,
2022.0,Abril,8.03,0.51,
2022.0,Mayo,8.85,0.98,
2022.0,Junio,9.33,1.03,
2022.0,Julio,9.96,0.68,
2022.0,Agosto,10.66,0.92,
2022.0,Septiembre,10.9,1.22,
2022.0,Octubre,11.25,2.97,
2022.0,Noviembre,11.09,4.03,
2022.0,Diciembre,11.12,4.36,
2023.0,Enero,10.95,4.54,
2023.0,Febrero,10.99,3.62,
2023.0,Marzo,10.95,4.13,
2023.0,Abril,10.84,4.11,
2023.0,Mayo,10.89,6.36,
2023.0,Junio,10.67,7.21,
2023.0,Julio,9.96,7.16,
2023.0,Agosto,8.99,4.76,
2023.0,Septiembre,8.78,3.89,
2023.0,Octubre,8.65,3.6,
2023.0,Noviembre,8.4,5.3,
2023.0,Diciembre,7.9,5.06,
2024.0,Enero,7.14,5.5,
2024.0,Febrero,6.44,2.75,
2024.0,Marzo,6.26,2.5,
2024.0,Abril,6.0,2.27,
2024.0,Mayo,5.95,2.5,
2024.0,Junio,5.67,2.51,
2024.0,Julio,5.53,1.79,
2024.0,Agosto,5.48,0.61,
2024.0,Septiembre,5.33,0.79,
