A̱o,Mes,Creditos en cuotas,Sobregiros,Total
2015.0,Enero,5.284772285479489,8.322665404955144,7.070129910573307
2015.0,Febrero,5.518154264543817,7.803606589015697,7.12784560612088
2015.0,Marzo,5.452256842192852,8.168345739693253,7.145096912949975
2015.0,Abril,5.567055023172243,7.890542971096021,7.036429824108094
2015.0,Mayo,5.2827961398552805,8.081411642537939,6.8780397911292805
2015.0,Junio,5.711379321596496,8.082284164144744,7.062430963395363
2015.0,Julio,5.529572172794916,7.561164244267504,6.832705521716165
2015.0,Agosto,5.700931011988655,7.8237022697967475,7.070604827174272
2015.0,Septiembre,5.523640285413831,6.77627917004706,6.34022641338139
2015.0,Octubre,5.764830451265089,6.279468000342456,6.236534735157083
2015.0,Noviembre,5.607893200156334,7.605831205030653,6.926419624128122
2015.0,Diciembre,5.906237776040071,7.370222798872728,6.855746395994714
2016.0,Enero,6.131367729302681,7.737769930742909,7.284385244263115
2016.0,Febrero,6.36037775987155,8.127852590031916,7.75326755815297
2016.0,Marzo,6.101207724175511,8.497252470406895,7.710791838732768
2016.0,Abril,5.91763148083982,8.393323973277695,7.46724243024946
2016.0,Mayo,5.771290622520979,8.66294490258721,7.453991313715928
2016.0,Junio,5.776403001690661,7.933515875011141,7.156553265524298
2016.0,Julio,5.683329816918231,7.168358797673398,6.807152894812866
2016.0,Agosto,5.788725199979922,6.964915408106853,6.75449973137794
2016.0,Septiembre,5.858701502824417,7.12155109635712,6.8776584984803915
2016.0,Octubre,5.615601117435888,9.274014863879248,7.675640643344186
2016.0,Noviembre,5.611187546047322,8.920701111182744,7.565957631046722
2016.0,Diciembre,5.529439850336584,9.662175939921108,7.643104967857815
2017.0,Enero,5.512484198731153,9.764094107031713,7.884418591454251
2017.0,Febrero,5.58,10.93,8.84
2017.0,Marzo,5.32,10.99,8.18
2017.0,Abril,4.77,9.79,7.48
2017.0,Mayo,4.88,8.49,7.03
2017.0,Junio,4.8,8.81,7.25
2017.0,Julio,4.81,8.75,7.08
2017.0,Agosto,4.54,8.68,6.79
2017.0,Septiembre,4.56,8.55,6.9
2017.0,Octubre,4.6,8.01,6.67
2017.0,Noviembre,4.54,8.43,6.57
2017.0,Diciembre,4.61,7.81,6.5
2018.0,Enero,4.54,8.01,6.38
2018.0,Febrero,4.64,7.9,6.94
2018.0,Marzo,4.25,8.02,6.19
2018.0,Abril,4.43,7.86,6.27
2018.0,Mayo,4.62,6.86,6.14
2018.0,Junio,4.71,6.7,6.05
2018.0,Julio,4.33,7.53,6.23
2018.0,Agosto,4.57,7.19,6.32
2018.0,Septiembre,4.44,6.65,5.98
2018.0,Octubre,4.69,6.55,6.0
2018.0,Noviembre,4.74,6.74,6.05
2018.0,Diciembre,4.9,6.74,6.18
2019.0,Enero,4.9,6.9,6.28
2019.0,Febrero,5.08,7.27,6.78
2019.0,Marzo,4.79,8.19,6.8
2019.0,Abril,4.81,6.86,6.33
2019.0,Mayo,4.82,5.78,5.65
2019.0,Junio,4.52,5.64,5.41
2019.0,Julio,4.38,5.94,5.6
2019.0,Agosto,4.07,6.32,5.68
2019.0,Septiembre,3.7,5.51,4.99
2019.0,Octubre,3.77,5.1,4.9
2019.0,Noviembre,3.84,5.26,4.96
2019.0,Diciembre,3.86,5.85,5.17
2020.0,Enero,4.13,7.16,6.22
2020.0,Febrero,4.11,7.17,6.24
2020.0,Marzo,4.13,6.57,5.53
2020.0,Abril,3.85,6.38,5.56
2020.0,Mayo,3.62,6.2,4.81
2020.0,Junio,3.3,6.47,4.58
2020.0,Julio,3.29,5.94,4.82
2020.0,Agosto,2.73,6.07,4.5
2020.0,Septiembre,2.57,6.29,4.44
2020.0,Octubre,2.98,5.63,5.08
2020.0,Noviembre,2.83,6.94,5.53
2020.0,Diciembre,2.46,6.58,4.98
2021.0,Enero,2.55,7.57,5.54
2021.0,Febrero,3.3,6.77,5.8
2021.0,Marzo,3.11,7.19,4.88
2021.0,Abril,3.03,6.67,4.84
2021.0,Mayo,2.81,6.46,4.8
2021.0,Junio,3.16,7.0,5.19
2021.0,Julio,3.14,6.42,4.67
2021.0,Agosto,3.43,7.31,5.58
2021.0,Septiembre,4.36,6.93,5.98
2021.0,Octubre,5.38,8.33,7.08
2021.0,Noviembre,6.08,10.32,8.58
2021.0,Diciembre,6.54,10.45,8.71
2022.0,Enero,6.95,10.92,9.24
2022.0,Febrero,8.27,12.06,10.82
2022.0,Marzo,8.97,13.46,11.19
2022.0,Abril,9.12,14.63,11.92
2022.0,Mayo,9.9,14.05,12.28
2022.0,Junio,10.3,15.45,12.99
2022.0,Julio,10.82,15.8,13.75
2022.0,Agosto,11.28,16.5,14.1
2022.0,Septiembre,12.1,16.42,14.54
2022.0,Octubre,12.83,16.35,15.05
2022.0,Noviembre,12.5,17.21,14.88
2022.0,Diciembre,12.77,19.56,15.28
2023.0,Enero,12.88,19.15,15.73
2023.0,Febrero,12.73,20.33,16.61
2023.0,Marzo,12.83,20.32,16.28
2023.0,Abril,12.59,21.0,16.37
2023.0,Mayo,12.46,19.91,16.09
2023.0,Junio,12.19,19.73,15.8
2023.0,Julio,12.2,18.55,15.75
2023.0,Agosto,10.95,17.61,14.39
2023.0,Septiembre,10.76,17.74,14.28
2023.0,Octubre,10.48,17.37,13.99
2023.0,Noviembre,10.0,16.57,13.22
2023.0,Diciembre,9.85,15.08,12.47
2024.0,Enero,9.54,15.8,12.71
2024.0,Febrero,8.95,14.27,12.08
2024.0,Marzo,8.7,17.03,12.39
2024.0,Abril,8.35,15.09,11.56
2024.0,Mayo,8.23,13.93,11.18
2024.0,Junio,7.51,13.74,9.97
2024.0,Julio,7.58,13.8,9.88
2024.0,Agosto,7.67,12.43,10.06
2024.0,Septiembre,7.23,12.4,9.66
