A単o,Mes,Menor a 180 dias,181 dias a 1 a単o,1 a 3 a単os,Mas de 3 a単os,TotalConsumo
2015,Enero,13.73,27.54,24.88,24.51,24.096004417675232
2015,Febrero,12.14,28.95,26.25,25.16,25.234454506174483
2015,Marzo,9.77,27.08,25.0,23.26,23.299889255728694
2015,Abril,10.32,27.72,25.19,23.6,23.619520297404737
2015,Mayo,9.73,27.62,25.42,23.46,23.777920247312657
2015,Junio,9.58,27.55,26.46,21.95,23.47911758285245
2015,Julio,9.64,26.84,25.67,21.6,22.914229745414907
2015,Agosto,9.67,27.03,25.96,22.57,23.520368626991754
2015,Septiembre,9.67,26.77,25.58,22.51,23.228031870933826
2015,Octubre,10.17,26.3,25.53,22.22,23.141147208858296
2015,Noviembre,9.33,24.98,25.28,22.2,22.71405559810402
2015,Diciembre,8.82,24.23,24.87,23.18,22.825927726055138
2016,Enero,9.574399725284014,25.09989536828522,25.402352042771525,23.408362945552454,23.394943708509853
2016,Febrero,9.986642499366237,25.772536714809238,25.918385958119725,23.752072829090885,23.872567741311805
2016,Marzo,8.532200470267304,24.54515899453846,25.454112382071965,22.365466436406933,22.68924006560573
2016,Abril,11.915205466496296,24.706910661079576,25.831817217579832,23.10449155549064,23.305944415526945
2016,Mayo,12.18345561702353,24.514482399909674,25.222795315589856,22.506457457020264,22.86927625287625
2016,Junio,12.831410532866121,25.34570868550965,25.200967534747647,22.581116182950744,23.123982168214148
2016,Julio,12.481812008537233,25.80598731708531,25.079529599032103,22.675863133599673,23.192294409798944
2016,Agosto,12.49793290701048,25.48866252175909,24.82356689451702,22.033350877627015,22.778364058595766
2016,Septiembre,12.65024840783041,26.118307552788067,24.950996792646663,22.576404983802494,23.155736132412635
2016,Octubre,12.865647253952016,25.735630552314415,24.79638231913217,22.736472058538922,23.20043758159802
2016,Noviembre,11.869246134365229,25.16287504909284,24.663802678312937,22.267250132096983,22.643910888756665
2016,Diciembre,11.882789704117661,24.804236540518747,23.882211791296324,22.318361926900145,22.378849376053722
2017,Enero,12.354753286333452,25.725925461035438,24.539977951441386,22.364647607606145,23.038613775515692
2017,Febrero,12.38,26.26,24.77,22.6,23.34
2017,Marzo,11.18,25.57,24.07,20.63,22.02
2017,Abril,11.14,25.79,24.97,22.07,22.83
2017,Mayo,11.5,24.96,24.17,20.7,21.88
2017,Junio,12.81,25.35,24.23,20.75,22.2
2017,Julio,12.92,25.07,23.83,20.68,22.01
2017,Agosto,13.02,24.56,23.36,19.97,21.45
2017,Septiembre,12.88,25.15,23.9,20.96,22.06
2017,Octubre,11.83,24.7,23.63,20.56,21.65
2017,Noviembre,10.97,23.96,23.31,20.18,21.15
2017,Diciembre,10.76,23.75,22.96,21.03,21.34
2018,Enero,11.92,24.51,23.43,20.76,21.68
2018,Febrero,12.36,25.32,24.39,21.33,22.45
2018,Marzo,10.82,24.18,23.18,19.61,20.91
2018,Abril,9.43,24.73,23.58,20.16,21.2
2018,Mayo,7.76,24.53,23.09,19.83,20.98
2018,Junio,9.6,25.03,23.47,19.73,21.29
2018,Julio,9.66,24.4,22.74,19.93,20.98
2018,Agosto,9.86,24.27,22.38,18.88,20.46
2018,Septiembre,9.17,24.89,23.35,19.93,21.32
2018,Octubre,7.97,23.73,22.25,18.88,20.14
2018,Noviembre,7.19,24.24,22.76,19.36,20.71
2018,Diciembre,7.11,23.75,22.57,19.89,20.58
2019,Enero,10.81,24.53,23.23,20.17,21.54
2019,Febrero,11.64,25.17,23.96,20.64,22.14
2019,Marzo,9.66,24.26,23.39,19.19,20.94
2019,Abril,9.93,24.48,23.44,19.51,21.04
2019,Mayo,10.45,23.9,22.63,18.77,20.58
2019,Junio,10.27,24.54,22.71,18.88,20.74
2019,Julio,10.33,23.96,22.83,18.5,20.5
2019,Agosto,10.17,23.37,21.95,17.84,19.77
2019,Septiembre,8.87,23.28,22.43,18.15,19.96
2019,Octubre,7.64,22.4,21.75,18.1,19.38
2019,Noviembre,8.92,22.44,21.9,18.35,19.63
2019,Diciembre,8.94,21.6,21.39,18.45,19.21
2020,Enero,10.67,22.82,22.38,18.63,20.16
2020,Febrero,9.96,23.37,22.99,19.06,20.67
2020,Marzo,10.52,23.09,23.19,19.25,20.82
2020,Abril,12.33,22.57,21.1,16.73,18.91
2020,Mayo,12.56,23.52,22.66,19.35,20.86
2020,Junio,11.66,22.29,21.89,18.44,19.89
2020,Julio,10.64,23.26,22.01,18.57,20.07
2020,Agosto,9.69,22.88,21.24,18.38,19.63
2020,Septiembre,8.39,22.46,20.29,18.1,18.89
2020,Octubre,8.87,23.07,20.85,18.31,19.41
2020,Noviembre,9.08,22.38,20.44,17.91,19.02
2020,Diciembre,10.84,23.05,19.61,18.48,19.41
2021,Enero,10.87,23.03,19.7,18.35,19.32
2021,Febrero,9.57,24.04,21.31,18.31,20.04
2021,Marzo,8.7,23.06,20.2,15.76,18.25
2021,Abril,8.64,23.28,20.67,16.8,18.87
2021,Mayo,8.33,22.52,19.93,16.04,18.07
2021,Junio,8.65,22.76,19.68,15.94,18.05
2021,Julio,8.35,23.14,19.92,16.03,18.28
2021,Agosto,8.53,23.31,19.67,15.2,18.02
2021,Septiembre,8.47,24.13,20.79,17.08,19.34
2021,Octubre,8.76,24.35,20.74,17.92,19.79
2021,Noviembre,9.49,25.61,21.73,18.83,20.91
2021,Diciembre,13.57,26.11,22.6,19.93,22.02
2022,Enero,12.23,27.23,23.73,21.13,22.96
2022,Febrero,13.79,28.38,24.94,22.44,24.33
2022,Marzo,13.08,28.6,24.38,21.3,23.65
2022,Abril,12.09,29.83,25.95,23.17,24.82
2022,Mayo,13.05,30.09,25.98,23.05,25.11
2022,Junio,14.18,30.89,26.82,24.19,26.26
2022,Julio,15.77,31.81,27.69,24.78,27.06
2022,Agosto,14.76,32.16,27.23,24.43,26.83
2022,Septiembre,15.84,32.98,28.03,25.79,27.93
2022,Octubre,14.95,32.67,27.38,25.74,27.46
2022,Noviembre,14.55,33.32,28.19,25.55,27.69
2022,Diciembre,14.07,33.13,28.61,26.0,28.13
2023,Enero,16.86,33.82,28.71,25.73,28.69
2023,Febrero,15.8,34.24,29.26,26.91,29.37
2023,Marzo,13.14,33.25,28.42,24.88,27.66
2023,Abril,12.78,34.32,29.6,26.77,28.84
2023,Mayo,13.77,33.92,28.94,25.35,28.16
2023,Junio,15.71,34.5,29.74,26.35,28.91
2023,Julio,16.34,34.46,30.49,25.63,29.1
2023,Agosto,16.61,34.36,30.05,24.3,28.48
2023,Septiembre,16.94,34.11,30.25,25.7,28.98
2023,Octubre,18.06,32.71,29.27,24.86,27.86
2023,Noviembre,14.79,32.63,29.38,24.82,27.5
2023,Diciembre,12.09,32.07,29.84,25.71,27.58
2024,Enero,15.58,32.58,30.18,24.88,27.96
2024,Febrero,15.41,32.5,30.45,25.32,28.21
2024,Marzo,11.6,30.64,29.42,22.69,26.0
2024,Abril,12.17,30.31,28.59,24.02,25.84
2024,Mayo,12.18,29.53,27.8,23.05,25.27
2024,Junio,11.21,29.34,27.16,23.03,24.91
2024,Julio,13.2,29.66,27.66,22.55,25.18
2024,Agosto,10.38,29.31,26.72,21.58,24.22
2024,Septiembre,12.99,29.52,26.94,22.42,24.89
